,name,seqname
0,Silba,Silba_198646
1,Haematobosca,Haematobosca_559680
2,Neopachygaster,Neopachygaster_1692469
3,Leptopsilopa,Leptopsilopa_1887046
4,Catachlorops,Catachlorops_1547373
5,Paucispinigera,Paucispinigera_903463
6,Gymnometriocnemus,Gymnometriocnemus_611353
7,Paranthomyza,Paranthomyza_500298
8,Clausicella,Clausicella_1718822
9,Acrocera,Acrocera_210245
10,Gyrostigma,Gyrostigma_2555504
11,Pachygaster,Pachygaster_124321
12,Mimegralla,Mimegralla_115300
13,Anopheles,Anopheles_7164
14,Rhinophora,Rhinophora_670625
15,Phyto,Phyto_1262320
16,Cleigastra,Cleigastra_113167
17,Zabrachia,Zabrachia_1891525
18,Merodon,Merodon_224226
19,Aulogastromyia,Aulogastromyia_1824990
20,Dryomyza,Dryomyza_169444
21,Basilia,Basilia_170889
22,Gaurax,Gaurax_540862
23,Bombylius,Bombylius_219362
24,Scenopinus,Scenopinus_247599
25,Zodion,Zodion_768804
26,Sphecapatoclea,Sphecapatoclea_2021595
27,Agathomyia,Agathomyia_226141
28,Phlebotomus,Phlebotomus_13203
29,Myospila,Myospila_520040
30,Blondelia,Blondelia_179437
31,Olfersia,Olfersia_1333310
32,Neurochaeta,Neurochaeta_716624
33,Senotainia,Senotainia_179787
34,Pseudoperichaeta,Pseudoperichaeta_283931
35,Tabanus,Tabanus_7206
36,Phryxe,Phryxe_569079
37,Hypocera,Hypocera_940227
38,Rhyncomya,Rhyncomya_670621
39,Trypocalliphora,Trypocalliphora_1042207
40,Muscina,Muscina_57892
41,Cryptochetum,Cryptochetum_1262333
42,Macrocera,Macrocera_608727
43,Lipsothrix,Lipsothrix_700849
44,Goniops,Goniops_428065
45,Graphomya,Graphomya_1072499
46,Apatolestes,Apatolestes_428062
47,Bradysia,Bradysia_35571
48,Palpomyia,Palpomyia_1525500
49,Icosta,Icosta_402409
50,Chamaemyia,Chamaemyia_305621
51,Philonicus,Philonicus_247567
52,Chaoborus,Chaoborus_41812
53,Sycorax,Sycorax_114592
54,Sciadocera,Sciadocera_192453
55,Cladochaeta,Cladochaeta_2035586
56,Prionocera,Prionocera_1690388
