,name,seqname
0,Thereva,Thereva_95078
1,Dasyhelea,Dasyhelea_41822
2,Urophora,Urophora_28620
3,Diplonevra,Diplonevra_92534
4,Metachela,Metachela_369884
5,Thecophora,Thecophora_305546
6,Macquartia,Macquartia_1918266
7,Phlebotomus,Phlebotomus_13203
8,Chironomus,Chironomus_7150
9,Amenia,Amenia_2086281
10,Clusiodes,Clusiodes_500306
11,Dinera,Dinera_569035
12,Hydromyza,Hydromyza_113174
13,Aphanotrigonum,Aphanotrigonum_540849
14,Coelopa,Coelopa_169466
15,Toxomerus,Toxomerus_115327
16,Maruina,Maruina_1144738
17,Milichiella,Milichiella_1890919
18,Huascaromusca,Huascaromusca_1609532
19,Calamoncosis,Calamoncosis_540852
20,Neorhynchocephalus,Neorhynchocephalus_259248
21,Ptychoptera,Ptychoptera_209691
22,Bibio,Bibio_189978
23,Axymyia,Axymyia_560715
24,Lonchoptera,Lonchoptera_92595
25,Acletoxenus,Acletoxenus_462271
26,Copromyza,Copromyza_1217530
27,Myolepta,Myolepta_1473716
28,Ligyra,Ligyra_117088
29,Pegohylemyia,Pegohylemyia_1887308
30,Atrichopogon,Atrichopogon_209702
31,Oreoleptis,Oreoleptis_1262318
32,Lamprolonchaea,Lamprolonchaea_907706
33,Ephydra,Ephydra_504564
34,Delphinia,Delphinia_43369
35,Pericoma,Pericoma_1148481
36,Chloromyia,Chloromyia_343649
37,Megaselia,Megaselia_36165
38,Liponeura,Liponeura_446516
39,Dictya,Dictya_1096051
40,Microchrysa,Microchrysa_931517
41,Pollenia,Pollenia_229639
42,Graphomya,Graphomya_1072499
43,Zodion,Zodion_768804
44,Myospila,Myospila_520040
45,Limonia,Limonia_52743
46,Neoalticomerus,Neoalticomerus_716622
47,Braula,Braula_305561
48,Calobata,Calobata_1820059
49,Zygothrica,Zygothrica_504731
50,Teratomyzidae,Teratomyzidae
51,Chrysogaster,Chrysogaster_224248
52,Liogma,Liogma_560731
53,Phorbia,Phorbia_1993534
54,Lasiomma,Lasiomma_95464
55,Brachyopa,Brachyopa_1637464
56,Dasineura,Dasineura_240745
57,Elomyia,Elomyia_1562792
58,Paralucilia,Paralucilia_1042205
59,Pachygaster,Pachygaster_124321
60,Basilia,Basilia_170889
61,Discomyza,Discomyza_1720780
62,Astomella,Astomella_210239
63,Protocalliphora,Protocalliphora_142901
64,Hylemya,Hylemya_253328
65,Prionocera,Prionocera_1690388
66,Haematopota,Haematopota_124311
67,Blepharomyia,Blepharomyia_179434
68,Pterodontia,Pterodontia_210267
69,Volucella,Volucella_226148
70,Polietes,Polietes_559702
71,Pholeomyia,Pholeomyia_1720804
72,Aulacigaster,Aulacigaster_716608
73,Exeretonevra,Exeretonevra_560723
74,Ateloglossa,Ateloglossa_1890907
75,Scaeva,Scaeva_219538
76,Coboldia,Coboldia_170624
77,Gasterophilus,Gasterophilus_84524
78,Mochlonyx,Mochlonyx_1577622
79,Temnostoma,Temnostoma_226164
80,Exechia,Exechia_397139
81,Pelina,Pelina_1086796
82,Nephrocerus,Nephrocerus_115303
83,Platypeza,Platypeza_289241
84,Phytomyza,Phytomyza_132616
85,Apatolestes,Apatolestes_428062
86,Dryomyza,Dryomyza_169444
87,Eumesembrinella,Eumesembrinella_672472
88,Passeromyia,Passeromyia_1511687
89,Atherigona,Atherigona_305597
90,Epichlorops,Epichlorops_540897
91,Contarinia,Contarinia_153220
